titre,annee,realisateur,note_presse,note_spectateurs,url
Les Misérables - Les Thénardier,2013,Raymond Bernard,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=141857.html
Napoléon vu par Abel Gance partie 1,2024,Abel Gance,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000004404.html
Harakiri,1963,Masaki Kobayashi,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=103716.html
Lion,2017,Garth Davis,3.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=229070.html
Les Lumières de la ville,1931,Charles Chaplin,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2256.html
Voyage au bout de l'enfer,1979,Michael Cimino,4.7,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=29714.html
Million Dollar Baby,2005,Clint Eastwood,4.9,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=56714.html
Star Wars : Episode VI - Le Retour du Jedi,1983,Richard Marquand,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=25803.html
American History X,1999,Tony Kaye,2.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=12475.html
Psychose,1960,Alfred Hitchcock,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=1603.html
Guerre et Paix,1966,Sergey Bondarchuk,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2606.html
Whiplash,2014,Damien Chazelle,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=225953.html
Le Silence des agneaux,1991,Jonathan Demme,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=6641.html
Le Kid,1921,Charles Chaplin,4.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2255.html
Green Book : Sur les routes du sud,2019,Peter Farrelly,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=256661.html
La Vie est belle,1998,Roberto Benigni,3.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=64439.html
Coco,2017,"Lee Unkrich, Adrian Molina",4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=206775.html
Inception,2010,Christopher Nolan,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=143692.html
Le Comte de Monte-Cristo,2024,"Matthieu Delaporte, Alexandre De La Patellière",3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=288404.html
Your Name,2016,Makoto Shinkai,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=249877.html
Gran Torino,2009,Clint Eastwood,4.7,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=135063.html
Le Dictateur,1945,Charles Chaplin,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2253.html
Star Wars : Episode V - L'Empire contre-attaque,1980,Irvin Kershner,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=25802.html
Seven,1996,David Fincher,3.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=13892.html
Le Seigneur des anneaux : les deux tours,2002,Peter Jackson,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39186.html
Django Unchained,2013,Quentin Tarantino,4.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=190918.html
Il était une fois en Amérique,1984,Sergio Leone,4.9,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=1941.html
Interstellar,2014,Christopher Nolan,3.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=114782.html
Il était une fois dans l'Ouest,1969,Sergio Leone,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2021.html
"The Dark Knight, Le Chevalier Noir",2008,Christopher Nolan,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=115362.html
Le Roi Lion,1994,"Roger Allers, Rob Minkoff",3.4,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=10862.html
Vol au-dessus d'un nid de coucou,1976,Milos Forman,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2072.html
La Ligne verte,2000,Frank Darabont,2.8,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=22779.html
La Liste de Schindler,1994,Steven Spielberg,4.2,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=9393.html
Forrest Gump,1994,Robert Zemeckis,2.6,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=10568.html
Le Seigneur des anneaux : la communauté de l'anneau (version longue),2024,Peter Jackson,,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=327721.html
Le Seigneur des anneaux : les deux tours (version longue),2024,Peter Jackson,,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=327723.html
Le Seigneur des anneaux : le retour du roi (version longue),2024,Peter Jackson,,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=327724.html
